other apžvalginė,1:45 
other apžvalginė EN,1:45
other apžvalginė RU,1:45
virsmo gamyba,1:00
virsmo gamyba EN,1:00
virsmo kaupimas / perdavimas,1:00
virsmo kaupimas / perdavimas EN,1:00
virsmo vartojimas,1:00
virsmo vartojimas EN,1:00
temines Technikos mokslas ir technika vaikams,1:00
temines Technikos mokslas ir technika vaikams EN,1:00
temines Tradicinė ir alternatyvi energetika,1:00
temines Tradicinė ir alternatyvi energetika EN,1:00
temines Apsišviesk! Taip veikia elektrinė,1:00
temines Apsišviesk! Taip veikia elektrinė EN,1:00
temines Pagaminta Vilniuje,1:00
temines Pagaminta Vilniuje EN,1:00
temines Industrijos šešėlių kvapas,1:00 
temines Industrijos šešėlių kvapas EN,1:00
temines Vilniaus modernėjimo istorija,1:00
temines Liepkalnio vandens saugykla,1:00
temines 100 metų istorijos,1:00
edukacines Išrandame bateriją,1:45
edukacines Išrandame bateriją EN,1:45
edukacines Kaip Tomui įsižiebė lemputė?,1:45
edukacines Kaip Tomui įsižiebė lemputė? EN,1:45
edukacines Faradėjaus judesys,1:45
edukacines Faradėjaus judesys EN,1:45
edukacines Iliuzijos: mokslas mistika ar apgaulė?,1:45
edukacines Iliuzijos: mokslas mistika ar apgaulė? EN,1:45
edukacines Fotografija: pasaulis degtukų dėžutėje,2:15
edukacines Fotografija: pasaulis degtukų dėžutėje EN,2:15
edukacines ESS,1:45
edukacines Visata stiklainyje,1:45
edukacines Visata stiklainyje EN,1:45
edukacines Vandens raketa,1:15
edukacines Vandenilis,1:45
edukacines Rankų darbo elektra,1:45
edukacines 3D spauda,1:45
edukacines 3D Skenavimas,1:45
edukacines Skorinos spaudos dirbtuvės,1:45
other Diena elektrinėje,1:00
other Diena elektrinėje EN,1:00
other Figūros aplink mus,1:00
other Pabėgimo kambarys,1:15
